# t MDEC_CT MIXS2 a state off enabled CA FEGv low band
335 c2d6 0 3ff 3 1 0 0 1bff 0 0
336 c2d5 0 3ff 3 1 0 0 1bff 0 0
337 c2d4 0 3ff 3 1 0 0 1bff 0 0
338 c2d3 0 3ff 3 1 0 0 1bff 0 0
339 c2d2 0 3ff 3 1 0 0 1bff 0 0
340 c2d1 0 3ff 3 1 0 0 1bff 0 0
341 c2d0 0 3ff 3 1 0 0 1bff 0 0
342 c2cf 0 3ff 3 1 0 0 1bff 0 0
343 c2ce 0 3ff 3 1 0 0 1bff 0 0
344 c2cd 0 3ff 3 1 0 0 1bff 0 0
345 c2cc 0 3ff 3 1 0 0 1bff 0 0
346 c2cb 0 3ff 3 1 0 0 1bff 0 0
347 c2ca 0 3ff 3 1 0 0 1bff 0 0
348 c2c9 0 3ff 3 1 0 0 1bff 0 0
349 c2c8 0 3ff 3 1 0 0 1bff 0 0
350 c2c7 0 3ff 3 1 0 0 1bff 0 0
351 c2c6 0 3ff 3 1 0 0 1bff 0 0
352 c2c5 0 3ff 3 1 0 0 1bff 0 0
353 c2c4 0 3ff 3 1 0 0 1bff 0 0
354 c2c3 0 3ff 3 1 0 0 1bff 0 0
355 c2c2 0 3ff 3 1 0 0 1bff 0 0
356 c2c1 0 3ff 3 1 0 0 1bff 0 0
357 c2c0 0 3ff 3 1 0 0 1bff 0 0
358 c2bf 0 3ff 3 1 0 0 1bff 0 0
359 c2be 0 3ff 3 1 0 0 1bff 0 0
360 c2bd 0 3ff 3 1 0 0 1bff 0 0
361 c2bc 0 3ff 3 1 0 0 1bff 0 0
362 c2bb 0 3ff 3 1 0 0 1bff 0 0
363 c2ba 0 3ff 3 1 0 0 1bff 0 0
364 c2b9 0 3ff 3 1 0 0 1bff 0 0
365 c2b8 0 3ff 3 1 0 0 1bff 0 0
366 c2b7 0 3ff 3 1 0 0 1bff 0 0
367 c2b6 0 3ff 3 1 0 0 1bff 0 0
368 c2b5 0 3ff 3 1 0 0 1bff 0 0
369 c2b4 0 3ff 3 1 0 0 1bff 0 0
370 c2b3 0 3ff 3 1 0 0 1bff 0 0
371 c2b2 0 3ff 3 1 0 0 1bff 0 0
372 c2b1 0 3ff 3 1 0 0 1bff 0 0
373 c2b0 0 3ff 3 1 0 0 1bff 0 0
374 c2af 0 3ff 3 1 0 0 1bff 0 0
375 c2ae 0 3ff 3 1 0 0 1bff 0 0
376 c2ad 0 3ff 3 1 0 0 1bff 0 0
377 c2ac 0 3ff 3 1 0 0 1bff 0 0
378 c2ab 0 3ff 3 1 0 0 1bff 0 0
379 c2aa 0 3ff 3 1 0 0 1bff 0 0
380 c2a9 0 3ff 3 1 0 0 1bff 0 0
381 c2a8 0 3ff 3 1 0 0 1bff 0 0
382 c2a7 0 3ff 3 1 0 0 1bff 0 0
383 c2a6 0 3ff 3 1 0 0 1bff 0 0
384 c2a5 0 3ff 3 1 0 0 1bff 0 0
385 c2a4 0 3ff 3 1 0 0 1bff 0 0
386 c2a3 0 3ff 3 1 0 0 1bff 0 0
387 c2a2 0 3ff 3 1 0 0 1bff 0 0
388 c2a1 0 3ff 3 1 0 0 1bff 0 0
389 c2a0 0 3ff 3 1 0 0 1bff 0 0
390 c29f 0 3ff 3 1 0 0 1bff 0 0
391 c29e 0 3ff 3 1 0 0 1bff 0 0
392 c29d 0 3ff 3 1 0 0 1bff 0 0
